id,timestamp,prob,type,amp
CI.BOM.,2020-10-01 00:02:34.900,0.7218448,S,4.2725102315246835e-09
CI.COA.,2020-10-01 00:00:03.110,0.19305529,P,9.719261251204325e-10
CI.COA.,2020-10-01 00:00:10.290,0.7796949,S,1.4627158975677285e-08
CI.COA.,2020-10-01 00:01:22.390,0.82822675,S,5.5537812904940405e-08
CI.COA.,2020-10-01 00:01:38.410,0.71674705,S,6.099845251269099e-09
CI.COA.,2020-10-01 00:01:47.480,0.81855685,S,1.1427613888729127e-08
CI.COA.,2020-10-01 00:01:49.110,0.35667717,S,3.1515506446894805e-08
CI.COA.,2020-10-01 00:02:07.680,0.12895134,S,8.49514960279799e-09
CI.COA.,2020-10-01 00:02:37.340,0.84346366,S,1.4082714068174902e-09
CI.COA.,2020-10-01 00:02:47.630,0.17967433,S,5.115346570156393e-09
CI.CRR.,2020-10-01 00:00:07.120,0.49362913,S,6.890911157456367e-09
CI.CRR.,2020-10-01 00:00:42.170,0.6710862,S,4.372849790027209e-09
CI.CRR.,2020-10-01 00:01:19.450,0.40953726,S,1.0509371165051092e-08
CI.CRR.,2020-10-01 00:01:36.570,0.26407048,S,5.0387520225187914e-12
CI.CRR.,2020-10-01 00:01:44.410,0.3736214,S,9.295987225595852e-09
CI.CRR.,2020-10-01 00:02:04.690,0.28870472,S,6.551155785465868e-09
CI.CRR.,2020-10-01 00:02:33.940,0.45831308,S,3.0479849505187014e-08
CI.DRE.,2020-10-01 00:02:39.130,0.22262973,S,3.826799530046592e-08
CI.ERR.,2020-10-01 00:00:08.530,0.1241758,S,2.7440127960432223e-08
CI.ERR.,2020-10-01 00:00:39.090,0.14675307,S,3.117818170868739e-10
CI.ERR.,2020-10-01 00:01:04.470,0.18807745,S,1.445292578662156e-08
CI.ERR.,2020-10-01 00:01:15.860,0.4077561,S,3.438850588828217e-09
CI.ERR.,2020-10-01 00:02:01.370,0.6410648,S,2.972206188587185e-09
CI.ERR.,2020-10-01 00:02:20.930,0.1798168,S,7.103454948663617e-09
CI.ERR.,2020-10-01 00:02:30.180,0.9122438,S,2.3032224286638414e-08
CI.FRK.,2020-10-01 00:00:06.380,0.25193653,S,3.319238784442816e-09
CI.FRK.,2020-10-01 00:00:08.500,0.30967572,S,3.336484214881821e-09
CI.FRK.,2020-10-01 00:00:42.140,0.78530383,S,2.4686386976712482e-09
CI.FRK.,2020-10-01 00:01:09.620,0.10513483,S,1.1036557679424967e-09
CI.FRK.,2020-10-01 00:01:18.930,0.75583565,S,8.066501760984889e-10
CI.FRK.,2020-10-01 00:01:35.250,0.3471864,S,4.120899474301271e-10
CI.FRK.,2020-10-01 00:01:44.080,0.2882642,S,2.4374842240371645e-10
CI.FRK.,2020-10-01 00:02:34.120,0.41505474,S,2.117196181641393e-09
CI.IMP.,2020-10-01 00:00:03.910,0.1547159,S,8.721749799744106e-08
CI.IMP.,2020-10-01 00:00:37.030,0.91843826,S,8.193322233814835e-09
CI.IMP.,2020-10-01 00:01:02.990,0.15130788,S,2.6703741465178205e-08
CI.IMP.,2020-10-01 00:01:13.820,0.9118312,S,6.43228019047535e-11
CI.IMP.,2020-10-01 00:01:29.490,0.7281626,S,9.5333249456026e-10
CI.IMP.,2020-10-01 00:01:38.790,0.8794518,S,3.970748265138129e-08
CI.IMP.,2020-10-01 00:01:48.860,0.23984721,S,3.7826296289133286e-08
CI.IMP.,2020-10-01 00:01:58.850,0.9259397,S,2.4144155725535746e-08
CI.IMP.,2020-10-01 00:02:21.070,0.25014594,S,2.0680895499219418e-09
CI.IMP.,2020-10-01 00:02:28.630,0.9140642,S,2.2238097813233266e-07
CI.IMP.,2020-10-01 00:02:33.750,0.13928743,S,2.934279009977062e-07
CI.IMP.,2020-10-01 00:02:41.840,0.37056026,S,5.285463214476442e-08
CI.RXH.,2020-10-01 00:00:03.200,0.18045771,S,4.143288562625765e-08
CI.RXH.,2020-10-01 00:00:35.530,0.75824463,S,3.070974195289711e-08
CI.RXH.,2020-10-01 00:01:12.170,0.353575,S,2.7818643539101664e-08
CI.RXH.,2020-10-01 00:01:38.360,0.11536227,S,4.047860896098617e-08
CI.RXH.,2020-10-01 00:01:58.140,0.49604303,S,4.888397280391647e-08
CI.RXH.,2020-10-01 00:02:24.190,0.62324226,S,1.4559853879665132e-07
CI.SAL.,2020-10-01 00:01:48.130,0.18769549,S,3.613153015000987e-09
CI.SAL.,2020-10-01 00:02:33.460,0.18278052,S,2.3952869556229143e-08
CI.SGL.,2020-10-01 00:00:08.380,0.764532,S,1.5448333636653565e-08
CI.SGL.,2020-10-01 00:00:42.970,0.20621727,S,8.892857348226583e-09
CI.SGL.,2020-10-01 00:01:20.360,0.4930489,S,2.037351659531126e-09
CI.SGL.,2020-10-01 00:01:35.280,0.15391928,S,2.2982457678170736e-09
CI.SGL.,2020-10-01 00:01:36.240,0.12314443,S,1.905681611331204e-09
CI.SGL.,2020-10-01 00:01:39.800,0.12581962,S,6.102924996917564e-09
CI.SGL.,2020-10-01 00:01:45.370,0.11858978,S,1.1548038016992783e-09
CI.SGL.,2020-10-01 00:02:05.600,0.27594218,S,4.281360329933588e-10
CI.SGL.,2020-10-01 00:02:36.380,0.26678264,S,2.5599140422455484e-08
CI.SLV.,2020-10-01 00:00:10.140,0.28402475,S,5.306103812784415e-10
CI.SLV.,2020-10-01 00:00:16.290,0.113043204,S,6.879410962487577e-09
CI.SLV.,2020-10-01 00:00:24.060,0.10593861,S,2.445429196458275e-09
CI.SLV.,2020-10-01 00:00:38.250,0.10887006,S,1.0506488544576047e-09
CI.SLV.,2020-10-01 00:00:40.100,0.36901018,S,1.0536104035162662e-10
CI.SLV.,2020-10-01 00:00:46.420,0.35762066,S,7.524942580180694e-10
CI.SLV.,2020-10-01 00:01:05.770,0.27788234,S,2.4236154582647045e-09
CI.SLV.,2020-10-01 00:01:16.870,0.45726338,S,9.946415730976654e-11
CI.SLV.,2020-10-01 00:01:23.150,0.18492386,S,5.666118251487664e-10
CI.SLV.,2020-10-01 00:01:32.930,0.4773602,S,6.772031035846865e-10
CI.SLV.,2020-10-01 00:01:42.290,0.7076474,S,1.176110418013565e-10
CI.SLV.,2020-10-01 00:01:48.750,0.36622304,S,1.0126896720967152e-09
CI.SLV.,2020-10-01 00:02:02.570,0.6434512,S,6.697173062303372e-10
CI.SLV.,2020-10-01 00:02:12.600,0.3694633,S,4.901597438601964e-10
CI.SLV.,2020-10-01 00:02:24.030,0.42037755,S,2.680781418184304e-10
CI.SLV.,2020-10-01 00:02:32.030,0.7471644,S,2.1428464027138017e-09
CI.SLV.,2020-10-01 00:02:38.600,0.29668835,S,1.8531274164387863e-09
CI.SNR.,2020-10-01 00:00:03.270,0.22550829,S,1.3677409277021196e-08
CI.SNR.,2020-10-01 00:01:16.510,0.3520265,S,1.012898918673302e-07
CI.SNR.,2020-10-01 00:01:32.240,0.36986402,S,3.5200088484714914e-08
CI.SNR.,2020-10-01 00:01:41.370,0.3987008,S,1.9962359291671728e-08
CI.SNR.,2020-10-01 00:02:23.740,0.119546324,S,2.836705371008095e-08
CI.SNR.,2020-10-01 00:02:31.190,0.849551,S,8.552964760991138e-08
CI.SNR.,2020-10-01 00:02:36.790,0.10095195,S,7.732375717501701e-08
CI.SNR.,2020-10-01 00:02:44.600,0.16868778,S,1.3568502547946382e-07
CI.SNR.,2020-10-01 00:02:46.070,0.12848152,S,5.9350596205291964e-08
CI.SWS.,2020-10-01 00:00:06.810,0.7003943,S,3.4273850005510014e-08
CI.WMD.,2020-10-01 00:00:03.370,0.4132437,S,2.6271357327687177e-07
CI.BOM.,2020-10-01 00:02:27.330,0.7082386,P,9.78131498541254e-10
CI.BOM.,2020-10-01 00:02:28.840,0.21927397,P,8.846391767531559e-09
CI.COA.,2020-10-01 00:00:38.600,0.3331923,P,3.1346342317737503e-09
CI.COA.,2020-10-01 00:01:15.470,0.847014,P,8.200865084903028e-09
CI.COA.,2020-10-01 00:01:31.960,0.6758496,P,6.37433266623835e-09
CI.COA.,2020-10-01 00:02:03.160,0.13092464,P,7.300650743268143e-09
CI.COA.,2020-10-01 00:02:24.550,0.2950163,P,2.206431451827777e-09
