event_id,station_id,timestamp,prob,type
475,ML01,45:31.7,0.92141986,P
475,ML01,45:32.3,0.92186123,S
476,ML01,51:07.9,0.92338264,P
476,ML01,51:08.6,0.86880875,S
477,ML01,46:47.6,0.9769753,P
477,ML01,46:48.3,0.835198,S
478,ML01,46:55.0,0.94939035,P
478,ML01,46:55.7,0.899771,S
479,ML01,47:50.5,0.9784056,P
479,ML01,47:51.2,0.9044318,S
480,ML01,48:21.8,0.9807842,P
480,ML01,48:22.5,0.93099886,S
482,ML01,00:28.3,0.33839092,P
482,ML01,00:29.4,0.4946696,P
482,ML01,00:30.6,0.6962341,S
486,ML01,46:09.4,0.8292085,P
486,ML01,46:10.4,0.60130376,S
495,ML01,40:38.8,0.45115882,P
495,ML01,40:40.6,0.5517395,S
499,ML01,52:42.1,0.28447643,S
501,ML01,01:59.4,0.23812217,P
501,ML01,02:01.9,0.20965923,S
507,ML01,35:41.9,0.45000723,S
2014,ML01,03:32.8,0.9773921,P
2014,ML01,03:34.3,0.9165719,S
2023,ML01,21:16.4,0.97234917,P
2023,ML01,21:17.6,0.95273894,S
2030,ML01,51:27.0,0.9815025,P
2030,ML01,51:28.2,0.875658,S
2037,ML01,17:12.0,0.4193901,P
2037,ML01,17:13.6,0.7603856,S
2038,ML01,28:41.1,0.44353655,P
2038,ML01,28:42.3,0.44438192,S
2040,ML01,21:10.5,0.9384642,P
2040,ML01,21:11.8,0.7311486,S
2040,ML01,21:12.3,0.36443385,S
2049,ML01,18:33.2,0.6406079,P
2052,ML01,13:36.9,0.9623283,P
2052,ML01,13:38.2,0.8990646,S
2053,ML01,14:14.4,0.9463319,P
2053,ML01,14:15.6,0.87882704,S
2054,ML01,16:16.1,0.97443104,P
2054,ML01,16:17.3,0.89407474,S
2055,ML01,17:17.7,0.98202676,P
2055,ML01,17:19.0,0.9106537,S
2056,ML01,21:09.4,0.98060226,P
2056,ML01,21:10.6,0.886837,S
2059,ML01,46:25.2,0.9751756,P
2059,ML01,46:26.4,0.90520686,S
2070,ML01,13:36.9,0.9618168,P
2070,ML01,13:38.2,0.89776325,S
2067,ML01,06:29.8,0.97244644,P
2067,ML01,06:31.0,0.85507804,S
2069,ML01,16:55.8,0.95901865,P
2069,ML01,16:57.1,0.8912473,S
2076,ML01,43:45.1,0.9754057,P
2076,ML01,43:46.4,0.86257654,S
2079,ML01,37:51.1,0.97504765,P
2079,ML01,37:52.3,0.76486856,S
2082,ML01,39:15.7,0.9765643,P
2082,ML01,39:17.0,0.95038515,S
2083,ML01,39:59.4,0.9776872,P
2083,ML01,40:00.7,0.84169793,S
2084,ML01,40:22.4,0.9719776,P
2084,ML01,40:23.6,0.91285115,S
2087,ML01,43:59.9,0.9802207,P
2087,ML01,44:01.2,0.74317455,S
2088,ML01,46:01.4,0.98232794,P
2088,ML01,46:02.7,0.86945355,S
2089,ML01,40:22.4,0.9778993,P
2089,ML01,40:23.6,0.92819214,S
2101,ML01,57:22.4,0.97094584,P
2101,ML01,57:23.6,0.7940948,S
2102,ML01,57:32.1,0.9305811,P
2102,ML01,57:33.3,0.768284,S
2105,ML01,45:14.4,0.97791034,P
2105,ML01,45:15.6,0.8786286,S
2106,ML01,05:04.2,0.9714516,P
2106,ML01,05:05.4,0.8428837,S
2138,ML01,12:34.9,0.25464708,P
2138,ML01,12:35.4,0.15349801,P
2138,ML01,12:36.2,0.71498007,S
2142,ML01,15:07.3,0.9643406,P
2142,ML01,15:08.6,0.883757,S
2144,ML01,31:06.6,0.17263535,P
2144,ML01,31:07.8,0.40872285,P
2144,ML01,31:07.9,0.39801073,S
2146,ML01,58:24.5,0.89339507,P
2148,ML01,50:56.5,0.96538913,P
2148,ML01,50:57.7,0.7974329,S
2149,ML01,21:34.5,0.9388958,P
2149,ML01,21:35.8,0.8732957,S
2150,ML01,33:16.5,0.5030407,P
2150,ML01,33:17.0,0.3674959,S
2151,ML01,33:15.7,0.10758587,P
2151,ML01,33:16.5,0.70050573,P
2151,ML01,33:17.1,0.50564253,S
2152,ML01,33:16.5,0.66057974,P
2152,ML01,33:17.0,0.48412633,S
2154,ML01,29:12.8,0.9289895,P
2154,ML01,29:14.6,0.8048447,S
2156,ML01,35:11.0,0.58352524,P
2156,ML01,35:12.3,0.42464522,S
2156,ML01,35:12.3,0.38441998,P
2156,ML01,35:13.6,0.2252407,S
2160,ML01,23:57.4,0.8933601,P
2160,ML01,23:58.0,0.29354206,S
2162,ML01,12:56.7,0.471941,P
2162,ML01,12:57.7,0.21034391,S
2162,ML01,12:58.7,0.21676163,S
2170,ML01,23:50.3,0.26953155,P
2170,ML01,23:50.6,0.61513054,S
2171,ML01,28:22.4,0.8761887,P
2173,ML01,12:27.3,0.28107783,S
2175,ML01,43:40.6,0.12383356,S
2175,ML01,43:40.5,0.85120124,P
2176,ML01,29:31.3,0.17775454,P
2176,ML01,29:32.9,0.60920376,S
2176,ML01,29:32.8,0.15256248,P
2182,ML01,22:16.4,0.95918304,P
2182,ML01,22:17.1,0.59105355,S
2183,ML01,05:07.1,0.8983019,P
2183,ML01,05:07.6,0.5601103,S
2184,ML01,13:13.1,0.8439554,P
2184,ML01,13:13.9,0.6466961,S
2186,ML01,57:22.7,0.7114408,P
2186,ML01,57:23.8,0.21530384,S
2187,ML01,50:44.8,0.9248399,P
2187,ML01,50:45.4,0.86620885,S
2189,ML01,35:06.7,0.878308,P
2189,ML01,35:07.7,0.60237217,S
2190,ML01,34:26.9,0.8683496,P
2190,ML01,34:27.1,0.15816475,S
2191,ML01,37:11.6,0.8744307,P
2191,ML01,37:12.3,0.63843346,S
2192,ML01,25:44.1,0.95188314,P
2192,ML01,25:44.5,0.5169846,S
2193,ML01,34:40.9,0.9513713,P
2193,ML01,34:41.4,0.6342782,S
2195,ML01,03:33.8,0.97643036,P
2195,ML01,03:34.8,0.7649441,S
2197,ML01,12:23.8,0.41995442,P
2197,ML01,12:25.6,0.6114073,S
2205,ML01,33:46.5,0.98400223,P
2205,ML01,33:47.8,0.8712055,S
2211,ML01,36:40.6,0.132957,P
2211,ML01,36:41.2,0.11107359,P
2211,ML01,36:42.6,0.26599166,S
2211,ML01,36:43.2,0.19282867,S
2212,ML01,02:06.7,0.4945274,P
2212,ML01,02:07.3,0.64519066,S
2213,ML01,22:36.8,0.7538455,P
2213,ML01,22:40.3,0.55110264,S
2213,ML01,22:40.4,0.110669084,P
2216,ML01,57:02.7,0.96028733,P
2216,ML01,57:03.9,0.3830332,S
2217,ML01,58:47.2,0.28086764,P
2217,ML01,58:47.1,0.49932963,S
2223,ML01,24:31.0,0.49155256,P
2223,ML01,24:33.3,0.5067847,S
2226,ML01,46:37.9,0.9424021,P
