time,magnitude,longitude,latitude,depth_km,utmx,utmy
9/12/2019 18:40,,101.115871,-1.612807,1.178,735404.6068,9821613.517
18/12/2019 20:49,,101.15541,-1.6096,4.50773,739806.0245,9821963.623
19/12/2019 15:20,,101.13194,-1.62796,0.63825,737191.4514,9819935.609
23/12/2019 16:58,,101.150484,-1.638751,0.758,739254.278,9818739.832
25/12/2019 13:24,,101.155435,-1.640478,0.353,739805.1618,9818548.217
25/12/2019 13:26,,101.149174,-1.641393,0.711,739108.15,9818447.759
25/12/2019 13:26,,101.14822,-1.641954,0.707,739001.8952,9818385.821
25/12/2019 13:27,,101.148897,-1.641594,0.692,739077.2937,9818425.56
25/12/2019 13:28,,101.149039,-1.640846,0.687,739093.1884,9818508.278
25/12/2019 13:29,,101.147639,-1.644063,1.393,738936.9743,9818152.616
25/12/2019 13:29,,101.14955,-1.643876,0.751,739149.7064,9818173.071
25/12/2019 13:33,,101.142813,-1.645623,0.493,738399.6172,9817980.644
25/12/2019 19:55,,101.14008,-1.63778,0.17847,738096.3426,9818848.473
25/12/2019 19:56,,101.155849,-1.641661,-0.316,739851.1026,9818417.316
25/12/2019 19:59,,101.154481,-1.641104,0.281,739698.8986,9818479.089
26/12/2019 23:01,,101.144979,-1.643343,0.929,738640.9808,9818232.573
26/12/2019 23:01,,101.147742,-1.641784,0.703,738948.7101,9818404.682
27/12/2019 14:29,,101.154134,-1.642166,0.841,739660.1479,9818361.664
28/12/2019 2:27,,101.15012,-1.638373,0.407,739213.8066,9818781.686
28/12/2019 14:05,,101.146795,-1.63552,0.615,738844.044,9819097.65
28/12/2019 17:01,,101.151035,-1.642283,0.453,739315.1889,9818349.094
28/12/2019 19:38,,101.147897,-1.641539,0.867,738965.992,9818431.763
29/12/2019 0:31,,101.149371,-1.645085,0.805,739129.6382,9818039.366
29/12/2019 0:31,,101.150481,-1.642294,0.525,739253.5228,9818347.944
29/12/2019 0:35,,101.148834,-1.643546,0.578,739070.0491,9818209.658
29/12/2019 0:37,,101.151313,-1.645697,0.472,739345.7257,9817971.44
29/12/2019 0:37,,101.151219,-1.645248,0.403,739335.3163,9818021.115
29/12/2019 0:40,,101.150404,-1.645397,0.498,739244.5823,9818004.732
29/12/2019 0:42,,101.153333,-1.646524,0.217,739570.4697,9817879.724
29/12/2019 0:42,,101.150901,-1.641652,0.118,739300.3487,9818418.904
29/12/2019 18:35,,101.18916,-1.56499,2.38397,743568.0212,9826894.023
31/12/2019 12:56,,101.156098,-1.641476,-0.673,739878.8406,9818437.749
31/12/2019 12:56,,101.152261,-1.644923,0.364,739451.3383,9818056.938
31/12/2019 12:57,,101.14985,-1.642908,0.72,739183.2142,9818280.105
31/12/2019 14:44,,101.152391,-1.644636,0.037,739465.8426,9818088.667
31/12/2019 14:47,,101.152341,-1.645112,0.344,739460.2204,9818036.023
1/1/2020 9:22,,101.152285,-1.64222,-0.536,739454.332,9818355.912
1/1/2020 10:03,,101.154054,-1.641976,0.564,739651.2659,9818382.689
1/1/2020 10:03,,101.154837,-1.639474,0.573,739738.7187,9818659.34
1/1/2020 10:15,,101.150248,-1.639951,0.811,739227.8666,9818607.129
1/1/2020 10:56,,101.143816,-1.645025,0.61,738511.3299,9818046.668
1/1/2020 10:56,,101.149044,-1.645089,0.813,739093.24,9818038.963
1/1/2020 11:00,,101.149452,-1.644148,0.59,739138.7658,9818142.997
1/1/2020 11:06,,101.154285,-1.642017,-0.539,739676.9733,9818378.126
13/1/2020 15:24,,101.152222,-1.642905,0.603,739447.2379,9818280.153
13/1/2020 15:25,,101.160446,-1.638741,-0.379,740363.1386,9818739.744
14/1/2020 8:59,,101.154511,-1.641448,0.375,739702.1969,9818441.036
14/1/2020 16:51,,101.14952,-1.64401,-0.13006,739146.3512,9818158.253
20/1/2020 11:17,,101.145778,-1.642666,0.54,738729.9962,9818307.36
20/1/2020 11:17,,101.154527,-1.641382,0.155,739703.9857,9818448.334
20/1/2020 11:24,,101.150204,-1.645953,0.207,739222.2544,9817943.258
20/1/2020 13:10,,101.149364,-1.645485,0.601,739128.8114,9817995.123
20/1/2020 13:11,,101.148184,-1.644962,0.431,738997.5302,9818053.114
