,id,timestamp,prob,type,filename
0,ML15,2020-04-30 23:29:34.650,0.56677127,p,ML15_20200430_121_23.mseed
1,ML15,2020-04-30 23:29:35.580,0.47208717,s,ML15_20200430_121_23.mseed
2,ML15,2020-04-30 23:33:07.990,0.26448417,s,ML15_20200430_121_23.mseed
3,ML15,2020-04-30 22:33:46.500,0.1057295,s,ML15_20200430_121_22.mseed
4,ML15,2020-04-30 21:12:16.050,0.111878455,s,ML15_20200430_121_21.mseed
5,ML15,2020-04-30 19:24:01.090,0.13312602,s,ML15_20200430_121_19.mseed
6,ML15,2020-04-30 17:00:45.710,0.65843546,p,ML15_20200430_121_17.mseed
7,ML15,2020-04-30 17:00:46.140,0.3354606,s,ML15_20200430_121_17.mseed
8,ML15,2020-04-30 14:06:52.070,0.31917405,s,ML15_20200430_121_14.mseed
9,ML15,2020-04-30 14:12:01.200,0.15397608,s,ML15_20200430_121_14.mseed
10,ML15,2020-04-30 14:52:15.940,0.1514536,s,ML15_20200430_121_14.mseed
11,ML15,2020-04-30 12:00:34.620,0.2075952,s,ML15_20200430_121_12.mseed
12,ML15,2020-04-30 12:51:49.560,0.60348225,p,ML15_20200430_121_12.mseed
13,ML15,2020-04-30 12:51:49.780,0.23126844,s,ML15_20200430_121_12.mseed
14,ML15,2020-04-30 10:01:25.720,0.2326938,s,ML15_20200430_121_10.mseed
15,ML15,2020-04-30 10:21:15.160,0.42256925,p,ML15_20200430_121_10.mseed
16,ML15,2020-04-30 10:21:15.670,0.23362418,s,ML15_20200430_121_10.mseed
17,ML15,2020-04-30 10:37:52.200,0.3035941,p,ML15_20200430_121_10.mseed
18,ML15,2020-04-30 10:53:17.770,0.391129,p,ML15_20200430_121_10.mseed
19,ML15,2020-04-30 10:55:02.230,0.17904072,s,ML15_20200430_121_10.mseed
20,ML15,2020-04-30 09:30:42.360,0.18083559,p,ML15_20200430_121_09.mseed
21,ML15,2020-04-30 09:47:01.210,0.27250186,p,ML15_20200430_121_09.mseed
22,ML15,2020-04-30 09:47:01.510,0.10340625,s,ML15_20200430_121_09.mseed
23,ML15,2020-04-30 09:57:26.700,0.54035527,p,ML15_20200430_121_09.mseed
24,ML15,2020-04-30 09:57:26.960,0.36012024,s,ML15_20200430_121_09.mseed
25,ML15,2020-04-30 08:00:22.090,0.31216,s,ML15_20200430_121_08.mseed
26,ML15,2020-04-30 08:05:15.790,0.1637758,s,ML15_20200430_121_08.mseed
27,ML15,2020-04-30 08:19:15.920,0.19211249,s,ML15_20200430_121_08.mseed
28,ML15,2020-04-30 08:24:46.020,0.10953342,s,ML15_20200430_121_08.mseed
29,ML15,2020-04-30 08:28:59.150,0.116923146,s,ML15_20200430_121_08.mseed
30,ML15,2020-04-30 08:28:58.920,0.5919801,p,ML15_20200430_121_08.mseed
31,ML15,2020-04-30 08:29:23.800,0.17814627,p,ML15_20200430_121_08.mseed
32,ML15,2020-04-30 08:29:35.640,0.9356396,p,ML15_20200430_121_08.mseed
33,ML15,2020-04-30 08:29:40.220,0.33185887,p,ML15_20200430_121_08.mseed
34,ML15,2020-04-30 08:29:41.000,0.4614727,s,ML15_20200430_121_08.mseed
35,ML15,2020-04-30 08:30:06.430,0.19339664,s,ML15_20200430_121_08.mseed
36,ML15,2020-04-30 08:30:06.240,0.17336304,p,ML15_20200430_121_08.mseed
37,ML15,2020-04-30 08:30:33.880,0.13615215,s,ML15_20200430_121_08.mseed
38,ML15,2020-04-30 08:30:33.890,0.29761577,p,ML15_20200430_121_08.mseed
39,ML15,2020-04-30 08:30:43.830,0.1990916,p,ML15_20200430_121_08.mseed
40,ML15,2020-04-30 08:30:55.720,0.39342988,p,ML15_20200430_121_08.mseed
41,ML15,2020-04-30 08:30:55.920,0.27317983,s,ML15_20200430_121_08.mseed
42,ML15,2020-04-30 08:31:15.250,0.27260047,p,ML15_20200430_121_08.mseed
43,ML15,2020-04-30 08:31:33.910,0.38499743,p,ML15_20200430_121_08.mseed
44,ML15,2020-04-30 08:31:45.970,0.3139143,s,ML15_20200430_121_08.mseed
45,ML15,2020-04-30 08:31:59.320,0.21690756,p,ML15_20200430_121_08.mseed
46,ML15,2020-04-30 08:31:59.460,0.2293868,s,ML15_20200430_121_08.mseed
47,ML15,2020-04-30 08:32:15.080,0.10760967,p,ML15_20200430_121_08.mseed
48,ML15,2020-04-30 08:36:01.480,0.103628844,s,ML15_20200430_121_08.mseed
49,ML15,2020-04-30 08:36:21.900,0.1412821,p,ML15_20200430_121_08.mseed
50,ML15,2020-04-30 07:01:50.950,0.9296541,p,ML15_20200430_121_07.mseed
51,ML15,2020-04-30 07:01:56.180,0.29564816,s,ML15_20200430_121_07.mseed
52,ML15,2020-04-30 07:06:02.760,0.19874778,p,ML15_20200430_121_07.mseed
53,ML15,2020-04-30 07:06:10.600,0.4917116,p,ML15_20200430_121_07.mseed
54,ML15,2020-04-30 07:06:10.830,0.43452388,s,ML15_20200430_121_07.mseed
55,ML15,2020-04-30 07:12:16.410,0.21150313,p,ML15_20200430_121_07.mseed
56,ML15,2020-04-30 07:12:17.210,0.14160621,s,ML15_20200430_121_07.mseed
57,ML15,2020-04-30 07:14:40.810,0.13386485,p,ML15_20200430_121_07.mseed
58,ML15,2020-04-30 07:31:27.680,0.35877752,p,ML15_20200430_121_07.mseed
59,ML15,2020-04-30 07:31:28.080,0.47717708,s,ML15_20200430_121_07.mseed
60,ML15,2020-04-30 07:37:49.500,0.54949427,p,ML15_20200430_121_07.mseed
61,ML15,2020-04-30 07:37:49.860,0.37257022,s,ML15_20200430_121_07.mseed
62,ML15,2020-04-30 07:38:01.170,0.26628187,p,ML15_20200430_121_07.mseed
63,ML15,2020-04-30 07:38:01.510,0.45880324,s,ML15_20200430_121_07.mseed
64,ML15,2020-04-30 07:47:01.870,0.16084129,p,ML15_20200430_121_07.mseed
65,ML15,2020-04-30 07:54:07.280,0.10175588,s,ML15_20200430_121_07.mseed
66,ML15,2020-04-30 07:54:07.270,0.18776385,p,ML15_20200430_121_07.mseed
67,ML15,2020-04-30 07:54:17.430,0.59180695,p,ML15_20200430_121_07.mseed
68,ML15,2020-04-30 07:54:17.620,0.2964184,s,ML15_20200430_121_07.mseed
69,ML15,2020-04-30 07:56:47.710,0.12687382,s,ML15_20200430_121_07.mseed
70,ML15,2020-04-30 07:57:10.270,0.114984125,s,ML15_20200430_121_07.mseed
71,ML15,2020-04-30 07:57:10.050,0.44837528,p,ML15_20200430_121_07.mseed
72,ML15,2020-04-30 07:57:54.110,0.3221522,p,ML15_20200430_121_07.mseed
73,ML15,2020-04-30 07:57:55.390,0.36955428,s,ML15_20200430_121_07.mseed
74,ML15,2020-04-30 06:11:40.820,0.8594196,p,ML15_20200430_121_06.mseed
75,ML15,2020-04-30 06:11:41.220,0.26556295,s,ML15_20200430_121_06.mseed
76,ML15,2020-04-30 06:23:12.680,0.31476465,p,ML15_20200430_121_06.mseed
77,ML15,2020-04-30 06:46:00.030,0.23240238,s,ML15_20200430_121_06.mseed
78,ML15,2020-04-30 06:49:17.890,0.12826233,p,ML15_20200430_121_06.mseed
79,ML15,2020-04-30 06:51:02.760,0.1234917,p,ML15_20200430_121_06.mseed
80,ML15,2020-04-30 06:52:47.100,0.28786376,s,ML15_20200430_121_06.mseed
81,ML15,2020-04-30 06:52:47.100,0.13295609,p,ML15_20200430_121_06.mseed
82,ML15,2020-04-30 06:53:57.910,0.27888173,p,ML15_20200430_121_06.mseed
83,ML15,2020-04-30 06:53:58.020,0.44008225,s,ML15_20200430_121_06.mseed
84,ML15,2020-04-30 05:01:30.050,0.5643646,p,ML15_20200430_121_05.mseed
85,ML15,2020-04-30 05:26:21.730,0.191215,p,ML15_20200430_121_05.mseed
86,ML15,2020-04-30 05:33:52.220,0.12036896,s,ML15_20200430_121_05.mseed
87,ML15,2020-04-30 05:34:31.780,0.18725689,s,ML15_20200430_121_05.mseed
