,id,timestamp,prob,type,filename
0,ML15,2020-04-30 23:29:34.660,0.8106748,p,ML15_20200430_121_23.mseed
1,ML15,2020-04-30 23:54:27.060,0.10029143,p,ML15_20200430_121_23.mseed
2,ML15,2020-04-30 22:25:46.730,0.15834388,p,ML15_20200430_121_22.mseed
3,ML15,2020-04-30 17:00:45.700,0.90097153,p,ML15_20200430_121_17.mseed
4,ML15,2020-04-30 17:01:02.930,0.24344672,s,ML15_20200430_121_17.mseed
5,ML15,2020-04-30 13:53:44.420,0.13120013,p,ML15_20200430_121_13.mseed
6,ML15,2020-04-30 10:03:19.510,0.17981434,p,ML15_20200430_121_10.mseed
7,ML15,2020-04-30 10:37:52.170,0.27283067,p,ML15_20200430_121_10.mseed
8,ML15,2020-04-30 09:25:52.210,0.107239164,p,ML15_20200430_121_09.mseed
9,ML15,2020-04-30 09:44:30.080,0.18142334,p,ML15_20200430_121_09.mseed
10,ML15,2020-04-30 09:44:30.960,0.119034,p,ML15_20200430_121_09.mseed
11,ML15,2020-04-30 09:53:25.190,0.1473505,p,ML15_20200430_121_09.mseed
12,ML15,2020-04-30 09:57:26.680,0.15334871,p,ML15_20200430_121_09.mseed
13,ML15,2020-04-30 08:21:19.740,0.25207746,p,ML15_20200430_121_08.mseed
14,ML15,2020-04-30 08:21:22.670,0.12740532,p,ML15_20200430_121_08.mseed
15,ML15,2020-04-30 08:22:04.540,0.2253775,p,ML15_20200430_121_08.mseed
16,ML15,2020-04-30 08:22:07.050,0.11431269,s,ML15_20200430_121_08.mseed
17,ML15,2020-04-30 08:24:20.900,0.49613377,p,ML15_20200430_121_08.mseed
18,ML15,2020-04-30 07:01:50.890,0.49356353,p,ML15_20200430_121_07.mseed
19,ML15,2020-04-30 07:01:56.010,0.2542667,s,ML15_20200430_121_07.mseed
20,ML15,2020-04-30 07:06:02.050,0.2647866,p,ML15_20200430_121_07.mseed
21,ML15,2020-04-30 07:12:15.430,0.28917405,p,ML15_20200430_121_07.mseed
22,ML15,2020-04-30 07:14:31.600,0.27402985,p,ML15_20200430_121_07.mseed
23,ML15,2020-04-30 07:21:21.690,0.30672786,p,ML15_20200430_121_07.mseed
24,ML15,2020-04-30 07:37:17.890,0.16013265,p,ML15_20200430_121_07.mseed
25,ML15,2020-04-30 07:44:12.060,0.15696135,p,ML15_20200430_121_07.mseed
26,ML15,2020-04-30 06:18:03.850,0.11792421,p,ML15_20200430_121_06.mseed
27,ML15,2020-04-30 06:26:44.850,0.17524557,p,ML15_20200430_121_06.mseed
28,ML15,2020-04-30 06:48:01.710,0.10421372,p,ML15_20200430_121_06.mseed
29,ML15,2020-04-30 06:49:17.880,0.105219096,p,ML15_20200430_121_06.mseed
30,ML15,2020-04-30 06:52:42.130,0.18487006,p,ML15_20200430_121_06.mseed
31,ML15,2020-04-30 06:52:46.850,0.43698123,s,ML15_20200430_121_06.mseed
32,ML15,2020-04-30 06:53:52.570,0.14028905,p,ML15_20200430_121_06.mseed
33,ML15,2020-04-30 06:53:57.830,0.1884601,s,ML15_20200430_121_06.mseed
34,ML15,2020-04-30 05:20:43.110,0.2223492,p,ML15_20200430_121_05.mseed
35,ML15,2020-04-30 05:27:15.570,0.314855,p,ML15_20200430_121_05.mseed
36,ML15,2020-04-30 04:54:05.630,0.16817884,s,ML15_20200430_121_04.mseed
37,ML15,2020-04-30 03:10:17.880,0.10211503,p,ML15_20200430_121_03.mseed
38,ML15,2020-04-30 03:16:56.320,0.29224053,p,ML15_20200430_121_03.mseed
39,ML15,2020-04-30 03:21:49.360,0.13101608,p,ML15_20200430_121_03.mseed
40,ML15,2020-04-30 03:27:43.990,0.30223086,p,ML15_20200430_121_03.mseed
41,ML15,2020-04-30 03:43:53.560,0.19474496,p,ML15_20200430_121_03.mseed
42,ML15,2020-04-30 03:52:51.800,0.17237456,s,ML15_20200430_121_03.mseed
43,ML15,2020-04-30 02:09:47.880,0.18468148,p,ML15_20200430_121_02.mseed
44,ML15,2020-04-30 01:02:01.260,0.3495866,p,ML15_20200430_121_01.mseed
45,ML15,2020-04-30 01:06:36.840,0.33518285,p,ML15_20200430_121_01.mseed
46,ML15,2020-04-30 01:19:05.640,0.20386267,p,ML15_20200430_121_01.mseed
47,ML15,2020-04-30 01:21:15.340,0.59626156,p,ML15_20200430_121_01.mseed
48,ML15,2020-04-30 01:51:01.410,0.108716615,p,ML15_20200430_121_01.mseed
49,ML15,2020-04-30 00:03:56.560,0.2864656,p,ML15_20200430_121_00.mseed
50,ML15,2020-04-30 00:09:01.700,0.36460143,p,ML15_20200430_121_00.mseed
51,ML15,2020-04-30 00:37:16.930,0.32063118,p,ML15_20200430_121_00.mseed
52,ML15,2020-04-30 00:38:48.130,0.10278362,p,ML15_20200430_121_00.mseed
53,ML15,2020-04-30 00:42:30.640,0.1379611,p,ML15_20200430_121_00.mseed
54,ML15,2020-04-30 00:58:34.820,0.24617751,p,ML15_20200430_121_00.mseed
55,ML14,2020-04-30 23:29:35.260,0.44858915,p,ML14_20200430_121_23.mseed
56,ML14,2020-04-30 17:00:45.540,0.70167196,p,ML14_20200430_121_17.mseed
57,ML14,2020-04-30 17:01:02.810,0.31484312,s,ML14_20200430_121_17.mseed
58,ML14,2020-04-30 08:21:17.650,0.33173576,p,ML14_20200430_121_08.mseed
59,ML14,2020-04-30 07:29:09.510,0.5376495,p,ML14_20200430_121_07.mseed
60,ML13,2020-04-30 23:29:34.630,0.65307355,p,ML13_20200430_121_23.mseed
61,ML13,2020-04-30 23:34:07.550,0.11765389,p,ML13_20200430_121_23.mseed
62,ML13,2020-04-30 23:48:32.620,0.7705502,p,ML13_20200430_121_23.mseed
63,ML13,2020-04-30 23:56:11.150,0.1671713,p,ML13_20200430_121_23.mseed
64,ML13,2020-04-30 21:11:26.900,0.19842751,p,ML13_20200430_121_21.mseed
65,ML13,2020-04-30 20:21:23.040,0.42159274,p,ML13_20200430_121_20.mseed
66,ML13,2020-04-30 17:00:45.100,0.5549095,p,ML13_20200430_121_17.mseed
67,ML13,2020-04-30 17:01:02.540,0.19056632,s,ML13_20200430_121_17.mseed
68,ML13,2020-04-30 13:22:53.660,0.12869234,p,ML13_20200430_121_13.mseed
69,ML13,2020-04-30 13:24:28.170,0.15228856,p,ML13_20200430_121_13.mseed
70,ML13,2020-04-30 12:12:07.330,0.10470609,p,ML13_20200430_121_12.mseed
71,ML13,2020-04-30 12:53:16.320,0.14867777,s,ML13_20200430_121_12.mseed
72,ML13,2020-04-30 10:14:12.460,0.111194134,p,ML13_20200430_121_10.mseed
73,ML13,2020-04-30 10:17:00.150,0.10717526,p,ML13_20200430_121_10.mseed
74,ML13,2020-04-30 10:17:59.180,0.22232586,p,ML13_20200430_121_10.mseed
75,ML13,2020-04-30 10:22:43.150,0.43394428,p,ML13_20200430_121_10.mseed
76,ML13,2020-04-30 10:24:53.790,0.20876239,p,ML13_20200430_121_10.mseed
77,ML13,2020-04-30 10:34:02.070,0.11101006,p,ML13_20200430_121_10.mseed
78,ML13,2020-04-30 10:34:03.810,0.1427942,p,ML13_20200430_121_10.mseed
79,ML13,2020-04-30 10:34:03.850,0.12957357,s,ML13_20200430_121_10.mseed
80,ML13,2020-04-30 10:35:44.560,0.16023614,p,ML13_20200430_121_10.mseed
81,ML13,2020-04-30 10:50:04.100,0.5610586,p,ML13_20200430_121_10.mseed
82,ML13,2020-04-30 10:50:59.000,0.19992064,p,ML13_20200430_121_10.mseed
83,ML13,2020-04-30 09:03:07.110,0.34107918,p,ML13_20200430_121_09.mseed
84,ML13,2020-04-30 09:20:54.000,0.33933872,p,ML13_20200430_121_09.mseed
85,ML13,2020-04-30 09:23:43.430,0.63070023,p,ML13_20200430_121_09.mseed
86,ML13,2020-04-30 09:32:25.930,0.2792873,p,ML13_20200430_121_09.mseed
87,ML13,2020-04-30 09:37:25.010,0.4946182,p,ML13_20200430_121_09.mseed
88,ML13,2020-04-30 09:38:12.820,0.16094424,p,ML13_20200430_121_09.mseed
89,ML13,2020-04-30 09:52:25.420,0.58717424,p,ML13_20200430_121_09.mseed
90,ML13,2020-04-30 09:56:35.970,0.19428046,p,ML13_20200430_121_09.mseed
91,ML13,2020-04-30 08:09:08.850,0.118593745,p,ML13_20200430_121_08.mseed
92,ML13,2020-04-30 08:14:26.100,0.28422168,p,ML13_20200430_121_08.mseed
93,ML13,2020-04-30 08:21:20.380,0.2959595,p,ML13_20200430_121_08.mseed
94,ML13,2020-04-30 08:27:21.760,0.14229316,p,ML13_20200430_121_08.mseed
95,ML13,2020-04-30 08:31:58.850,0.55990535,p,ML13_20200430_121_08.mseed
96,ML13,2020-04-30 08:32:12.740,0.23072211,p,ML13_20200430_121_08.mseed
97,ML13,2020-04-30 08:52:11.230,0.5062239,p,ML13_20200430_121_08.mseed
98,ML13,2020-04-30 07:04:57.700,0.32925764,p,ML13_20200430_121_07.mseed
99,ML13,2020-04-30 07:05:15.750,0.5267177,p,ML13_20200430_121_07.mseed
100,ML13,2020-04-30 07:06:09.190,0.10085156,s,ML13_20200430_121_07.mseed
101,ML13,2020-04-30 07:14:28.080,0.35610777,p,ML13_20200430_121_07.mseed
102,ML13,2020-04-30 07:25:28.500,0.3160826,p,ML13_20200430_121_07.mseed
103,ML13,2020-04-30 07:56:31.380,0.18759349,s,ML13_20200430_121_07.mseed
104,ML13,2020-04-30 06:04:33.170,0.24805179,p,ML13_20200430_121_06.mseed
105,ML13,2020-04-30 06:12:13.240,0.52591705,p,ML13_20200430_121_06.mseed
106,ML13,2020-04-30 06:12:16.620,0.11833339,s,ML13_20200430_121_06.mseed
107,ML13,2020-04-30 06:19:48.210,0.22428,p,ML13_20200430_121_06.mseed
108,ML13,2020-04-30 06:43:05.180,0.23778123,p,ML13_20200430_121_06.mseed
109,ML13,2020-04-30 06:47:41.600,0.18373635,p,ML13_20200430_121_06.mseed
