id,timestamp,prob,type,amp,event_index,gamma_score
CI.COA.,2020-10-01T00:02:37.340000,0.84346366,S,1.40827140681749e-09,2,0.03559151265410081
CI.CRR.,2020-10-01T00:00:42.170000,0.6710862,S,4.372849790027209e-09,1,0.06604104122067482
CI.CRR.,2020-10-01T00:01:44.410000,0.3736214,S,9.295987225595852e-09,4,0.008247893959290969
CI.CRR.,2020-10-01T00:02:04.690000,0.28870472,S,6.551155785465868e-09,0,0.029363324279092915
CI.CRR.,2020-10-01T00:02:33.940000,0.45831308,S,3.0479849505187014e-08,2,0.050486700556578064
CI.ERR.,2020-10-01T00:00:39.090000,0.14675307,S,3.1178181708687386e-10,1,0.014482530982816842
CI.ERR.,2020-10-01T00:02:01.370000,0.6410648,S,2.9722061885871852e-09,0,0.06422424461626002
CI.FRK.,2020-10-01T00:00:42.140000,0.78530383,S,2.468638697671248e-09,1,0.07739278364370553
CI.IMP.,2020-10-01T00:00:37.030000,0.91843826,S,8.193322233814835e-09,1,0.08922163053152805
CI.IMP.,2020-10-01T00:01:13.820000,0.9118312,S,6.432280190475349e-11,3,0.008247893959290969
CI.IMP.,2020-10-01T00:01:58.850000,0.9259397,S,2.4144155725535743e-08,0,0.0011937545025115677
CI.IMP.,2020-10-01T00:02:28.630000,0.9140642,S,2.2238097813233266e-07,2,0.002673643826302827
CI.RXH.,2020-10-01T00:01:12.170000,0.353575,S,2.7818643539101664e-08,3,0.007904867137594772
CI.RXH.,2020-10-01T00:01:58.140000,0.49604303,S,4.8883972803916476e-08,0,0.09241259350871261
CI.SAL.,2020-10-01T00:02:33.460000,0.18278052,S,2.3952869556229143e-08,2,0.02742074698372989
CI.SGL.,2020-10-01T00:00:42.970000,0.20621727,S,8.892857348226583e-09,1,0.06608892099451255
CI.SGL.,2020-10-01T00:01:20.360000,0.4930489,S,2.037351659531126e-09,3,0.020980532868405725
CI.SGL.,2020-10-01T00:01:36.240000,0.12314443,S,1.905681611331204e-09,4,0.007904867137594772
CI.SGL.,2020-10-01T00:02:05.600000,0.27594218,S,4.281360329933588e-10,0,0.05033296255594442
CI.SGL.,2020-10-01T00:02:36.380000,0.26678264,S,2.5599140422455484e-08,2,0.008025712582488288
CI.SLV.,2020-10-01T00:00:40.100000,0.36901018,S,1.0536104035162661e-10,1,0.02001809391077572
CI.SLV.,2020-10-01T00:01:16.870000,0.45726338,S,9.946415730976654e-11,3,0.0023002563089292638
CI.SLV.,2020-10-01T00:01:48.750000,0.36622304,S,1.0126896720967152e-09,4,0.020980532868405725
CI.SLV.,2020-10-01T00:02:02.570000,0.6434512,S,6.697173062303371e-10,0,0.028023267563921917
CI.SLV.,2020-10-01T00:02:32.030000,0.7471644,S,2.1428464027138013e-09,2,0.0061759680562438095
CI.SNR.,2020-10-01T00:01:16.510000,0.3520265,S,1.012898918673302e-07,3,0.007969438627916563
CI.SNR.,2020-10-01T00:02:31.190000,0.849551,S,8.552964760991138e-08,2,0.0514274614030695
CI.BOM.,2020-10-01T00:02:27.330000,0.7082386,P,9.78131498541254e-10,2,0.022921929437735477
CI.COA.,2020-10-01T00:01:15.470000,0.847014,P,8.200865084903028e-09,3,0.0016117501790340043
CI.COA.,2020-10-01T00:01:31.960000,0.6758496,P,6.37433266623835e-09,4,0.0023002563089292638
CI.COA.,2020-10-01T00:02:30.050000,0.86506456,P,4.325342747772313e-09,2,0.0070894195135693065
CI.CRR.,2020-10-01T00:00:36.970000,0.80718005,P,1.493984221121905e-09,1,0.009138088502857083
CI.CRR.,2020-10-01T00:01:13.840000,0.87186027,P,1.912030645593174e-09,3,0.013912953556035546
CI.CRR.,2020-10-01T00:01:59.200000,0.6773619,P,2.6733048288670343e-11,0,0.06365775769642791
CI.CRR.,2020-10-01T00:02:28.650000,0.80116826,P,1.0499599038597021e-08,2,0.054830493195854264
CI.ERR.,2020-10-01T00:01:56.980000,0.304233,P,1.1331082971210722e-08,0,0.06841618796652917
CI.ERR.,2020-10-01T00:02:26.520000,0.931647,P,2.0291306814304072e-08,2,0.0064801926756916685
CI.FRK.,2020-10-01T00:00:36.680000,0.8988063,P,1.3946592034364455e-09,1,0.03625794939247535
CI.FRK.,2020-10-01T00:01:12.750000,0.40096533,P,1.7364466568356354e-09,3,0.007933697203850192
CI.FRK.,2020-10-01T00:01:39.970000,0.27632913,P,5.396994377826816e-10,4,0.007969438627916563
CI.FRK.,2020-10-01T00:01:59.110000,0.17533253,P,2.3179173631925351e-10,0,0.03066889354445326
CI.FRK.,2020-10-01T00:02:27.270000,0.96767104,P,3.231036741967641e-09,2,0.0032918447981575144
CI.IMP.,2020-10-01T00:01:10.270000,0.97389174,P,3.976886786565278e-08,3,0.001220719893246487
