time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,event_index,x(km),y(km),z(km),longitude,latitude,depth_km
2021-01-31T12:43:58.398,999,0.125,0,0,13.000,13,9,4,11,1.024,-2.534,2.000,101.141,-1.638,2.000
2020-05-02T15:51:06.918,999,0.142,0,0,19.000,19,10,9,2,0.093,-0.153,2.000,101.133,-1.616,2.000
2021-08-07T09:04:32.294,999,0.137,0,0,17.000,17,10,7,14,0.898,-2.612,2.000,101.140,-1.639,2.000
2022-01-20T18:28:50.010,999,0.304,0,0,4.000,4,2,2,3,-0.453,-0.024,2.000,101.128,-1.615,2.000
2021-01-31T06:39:54.698,999,0.105,0,0,10.000,10,6,4,0,0.956,-2.236,2.000,101.140,-1.635,2.000
2021-02-15T06:45:12.991,999,0.125,0,0,10.000,10,7,3,12,0.947,-2.126,2.000,101.140,-1.634,2.000
2021-01-05T18:23:51.491,999,0.083,0,0,6.000,6,3,3,9,0.204,-1.753,2.000,101.134,-1.631,2.000
2021-05-27T21:05:45.864,999,0.133,0,0,7.000,7,4,3,23,0.377,-2.008,2.000,101.135,-1.633,2.000
2021-01-31T05:21:07.886,999,0.127,0,0,14.000,14,10,4,27,1.208,-2.275,2.000,101.143,-1.636,2.000
2021-09-03T00:05:37.981,999,0.172,0,0,5.000,5,2,3,8,-0.032,-0.221,2.000,101.132,-1.617,2.000
2020-05-02T08:45:30.737,999,0.119,0,0,6.000,6,3,3,5,0.151,-0.448,2.000,101.133,-1.619,2.000
2021-01-02T12:52:03.728,999,0.103,0,0,7.000,7,4,3,4,1.033,-2.357,2.000,101.141,-1.636,2.000
2021-06-12T11:05:28.152,999,0.156,0,0,6.000,6,4,2,1,0.619,-2.076,2.000,101.137,-1.634,2.000
2021-02-13T17:46:31.189,999,0.146,0,0,7.000,7,4,3,7,0.246,-1.944,2.000,101.134,-1.633,2.000
2021-01-05T16:10:58.120,999,0.143,0,0,10.000,10,6,4,6,1.182,-2.299,2.000,101.142,-1.636,2.000
2021-01-31T06:17:51.055,999,0.224,0,0,6.000,6,4,2,10,0.610,-2.014,2.000,101.137,-1.633,2.000
2021-01-31T05:13:35.391,999,0.160,0,0,12.000,12,9,3,13,1.343,-2.461,2.000,101.144,-1.637,2.000
