time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,event_index,x(km),y(km),z(km),longitude,latitude,depth_km
2020-04-29T09:34:28.443,999,0.305,0,0,3.729,4,1,3,2,-7.056,6.210,12.000,101.071,-1.559,12.000
2020-04-25T07:54:15.780,999,0.640,0,0,7.757,8,7,1,15,-0.431,0.604,-1.000,101.130,-1.610,-1.000
2020-04-25T00:52:13.557,999,0.154,0,0,4.995,5,1,4,4,5.774,-6.848,12.000,101.186,-1.677,12.000
2020-04-30T07:14:25.931,999,0.409,0,0,9.000,6,5,1,25,-3.461,0.931,-1.000,101.103,-1.607,-1.000
2020-04-24T12:35:36.282,999,0.799,0,0,4.799,4,3,1,10,5.774,-6.848,-1.000,101.186,-1.677,-1.000
2020-04-26T04:34:48.713,999,0.497,0,0,5.444,6,4,2,8,0.534,1.251,-1.000,101.139,-1.604,-1.000
2020-04-24T14:39:12.585,999,0.304,0,0,4.980,5,4,1,0,-7.056,-0.598,12.000,101.071,-1.620,12.000
2020-04-25T21:35:08.773,999,0.147,0,0,5.000,5,3,2,3,1.908,-3.363,0.737,101.151,-1.645,0.737
2020-04-24T17:05:15.491,999,0.356,0,0,12.000,12,1,11,5,-3.374,-1.966,1.692,101.104,-1.633,1.692
2020-04-25T08:17:39.355,999,0.566,0,0,3.541,4,3,1,6,-7.056,-6.848,-1.000,101.071,-1.677,-1.000
2020-04-24T20:16:18.722,999,0.123,0,0,25.000,25,13,12,11,2.375,-3.446,1.361,101.156,-1.646,1.361
2020-04-25T17:27:13.458,999,0.274,0,0,4.000,4,3,1,1,-0.331,0.058,-1.000,101.131,-1.615,-1.000
2020-04-30T06:53:51.575,999,0.453,0,0,6.000,6,3,3,7,-3.748,2.553,-1.000,101.100,-1.592,-1.000
2020-04-29T10:58:59.934,999,0.663,0,0,5.952,6,5,1,27,0.020,1.438,-1.000,101.134,-1.602,-1.000
2020-04-27T16:55:53.866,999,0.398,0,0,20.000,18,14,4,41,5.774,5.898,12.000,101.186,-1.562,12.000
2020-04-25T00:31:56.133,999,0.600,0,0,6.797,7,2,5,18,-1.983,-0.200,0.492,101.116,-1.617,0.492
2020-04-24T03:04:03.947,999,0.507,0,0,9.000,9,3,6,13,3.258,2.855,2.259,101.163,-1.589,2.259
2020-04-28T02:38:00.277,999,0.060,0,0,10.000,10,9,1,9,1.150,1.762,2.521,101.145,-1.599,2.521
2020-04-30T06:49:13.417,999,0.598,0,0,5.980,6,4,2,29,-7.056,3.329,-1.000,101.071,-1.585,-1.000
2020-04-24T20:59:07.454,999,0.231,0,0,9.722,10,4,6,17,-1.456,-2.828,2.418,101.121,-1.641,2.418
2020-04-25T11:08:20.606,999,0.132,0,0,7.000,7,3,4,12,-0.523,-0.832,0.669,101.129,-1.623,0.669
2020-04-29T08:18:38.767,999,0.458,0,0,13.000,13,12,1,22,3.155,-2.165,0.262,101.163,-1.635,0.262
2020-04-27T04:23:51.737,999,0.058,0,0,5.000,5,4,1,14,0.721,-1.621,-0.788,101.141,-1.630,-0.788
2020-04-25T16:38:19.424,999,0.196,0,0,7.000,7,4,3,23,0.510,-3.304,5.432,101.139,-1.645,5.432
2020-04-29T09:32:42.439,999,0.529,0,0,7.000,6,5,1,26,-2.632,0.718,-1.000,101.111,-1.609,-1.000
2020-04-30T07:01:49.819,999,0.279,0,0,3.572,4,3,1,35,-2.809,1.039,-1.000,101.109,-1.606,-1.000
2020-04-30T06:45:56.790,999,0.157,0,0,5.000,5,3,2,21,-2.024,1.557,-1.000,101.116,-1.601,-1.000
2020-04-24T16:40:43.360,999,0.000,0,0,4.000,4,2,2,16,2.844,-2.598,0.929,101.160,-1.639,0.929
2020-04-26T19:41:29.985,999,0.000,0,0,4.000,4,2,2,19,0.673,-2.924,-0.678,101.140,-1.641,-0.678
2020-04-27T00:34:12.692,999,0.245,0,0,6.563,7,1,6,28,-7.056,-6.848,-0.536,101.071,-1.677,-0.536
2020-04-26T12:14:11.738,999,0.326,0,0,6.829,6,5,1,30,0.833,-1.262,-1.000,101.142,-1.626,-1.000
2020-04-24T07:41:55.781,999,0.120,0,0,10.874,11,9,2,24,-2.331,-1.035,-1.000,101.113,-1.624,-1.000
2020-04-25T16:49:40.420,999,0.036,0,0,5.771,6,3,3,33,5.095,1.364,-0.998,101.180,-1.603,-0.998
2020-04-25T11:03:10.026,999,0.000,0,0,4.000,4,3,1,20,0.456,-2.386,0.519,101.138,-1.637,0.519
2020-04-24T20:06:56.856,999,0.232,0,0,14.000,12,7,5,34,0.276,-2.224,2.346,101.137,-1.635,2.346
2020-04-30T07:25:26.588,999,0.633,0,0,8.000,6,5,1,36,-1.198,-0.304,-1.000,101.123,-1.618,-1.000
2020-04-28T02:38:18.402,999,0.128,0,0,7.000,7,2,5,32,4.714,4.300,6.880,101.177,-1.576,6.880
2020-04-24T20:16:42.541,999,0.380,0,0,10.000,10,6,4,38,5.774,4.554,-1.000,101.186,-1.574,-1.000
2020-04-24T23:45:41.777,999,0.120,0,0,23.991,24,13,11,39,2.921,-3.242,1.318,101.160,-1.644,1.318
2020-04-28T11:45:21.590,999,0.424,0,0,8.000,8,2,6,37,-2.166,0.853,-0.827,101.115,-1.607,-0.827
2020-04-28T01:11:09.564,999,0.283,0,0,10.000,10,9,1,40,0.271,0.760,2.651,101.137,-1.608,2.651
2020-04-30T07:12:10.462,999,0.648,0,0,5.993,6,4,2,42,-4.600,-1.064,-1.000,101.093,-1.625,-1.000
2020-04-24T15:24:51.575,999,0.275,0,0,14.000,14,6,8,44,2.577,-1.182,4.883,101.157,-1.626,4.883
2020-04-24T12:29:07.813,999,0.297,0,0,4.000,4,3,1,31,5.774,-3.656,-1.000,101.186,-1.648,-1.000
2020-04-28T02:30:06.171,999,0.240,0,0,14.000,14,2,12,43,-2.024,-0.969,0.394,101.116,-1.624,0.394
2020-04-26T12:26:14.325,999,0.369,0,0,7.833,8,4,4,49,0.650,0.667,-1.000,101.140,-1.609,-1.000
2020-04-25T18:08:25.744,999,0.366,0,0,9.000,9,7,2,45,3.322,-1.146,-1.000,101.164,-1.625,-1.000
2020-04-29T10:24:06.109,999,0.512,0,0,5.000,5,3,2,46,1.026,-0.873,-1.000,101.143,-1.623,-1.000
