Unnamed: 0,id,timestamp,prob,type,filename,event_index,gamma_score
18,ML15,2020-04-30T07:01:50.890000,0.49356353,p,ML15_20200430_121_07.mseed,35,0.10817561671189248
32,ML15,2020-04-30T06:53:52.570000,0.14028905,p,ML15_20200430_121_06.mseed,7,0.06237287938968057
110,ML13,2020-04-30T06:49:14.390000,0.1030103,p,ML13_20200430_121_06.mseed,29,0.0064441856437292295
241,ML12,2020-04-30T07:01:50.210000,0.5721407,p,ML12_20200430_121_07.mseed,35,0.028476892716598725
246,ML12,2020-04-30T07:12:11.310000,0.1853022,p,ML12_20200430_121_07.mseed,42,0.0032591147153617156
247,ML12,2020-04-30T07:14:26.390000,0.8465752,p,ML12_20200430_121_07.mseed,25,0.0522137022691968
255,ML12,2020-04-30T06:45:57.010000,0.5322785,p,ML12_20200430_121_06.mseed,21,0.3836029818652088
256,ML12,2020-04-30T06:49:14.710000,0.18892214,p,ML12_20200430_121_06.mseed,29,0.015413628694472757
257,ML12,2020-04-30T06:53:52.360000,0.78164136,p,ML12_20200430_121_06.mseed,7,0.4255968823801458
281,ML11,2020-04-30T07:25:26.420000,0.31474096,p,ML11_20200430_121_07.mseed,36,0.020185964774223627
414,ML10,2020-04-30T07:25:26.050000,0.28772166,s,ML10_20200430_121_07.mseed,36,0.08737803731667974
415,ML10,2020-04-30T07:25:26.170000,0.21854518,p,ML10_20200430_121_07.mseed,36,0.0766929637704573
642,ML09,2020-04-30T07:14:26.870000,0.12053178,p,ML09_20200430_121_07.mseed,25,0.27783773260201006
643,ML09,2020-04-30T07:25:27.780000,0.102988295,p,ML09_20200430_121_07.mseed,36,0.07215695229597444
1242,ML07,2020-04-30T07:12:11.580000,0.8015982,p,ML07_20200430_121_07.mseed,42,0.06855380891750427
1243,ML07,2020-04-30T07:12:13.600000,0.39026487,s,ML07_20200430_121_07.mseed,42,0.3096122399202131
1245,ML07,2020-04-30T07:14:25.940000,0.3501284,p,ML07_20200430_121_07.mseed,25,0.008039091924200485
1249,ML07,2020-04-30T07:25:26.980000,0.13128006,p,ML07_20200430_121_07.mseed,36,0.03417309610835384
1277,ML07,2020-04-30T06:45:57.580000,0.52026105,s,ML07_20200430_121_06.mseed,21,0.3612366780424073
1278,ML07,2020-04-30T06:49:15.010000,0.41706714,p,ML07_20200430_121_06.mseed,29,0.02576213669294535
1279,ML07,2020-04-30T06:49:17.570000,0.14717826,s,ML07_20200430_121_06.mseed,29,0.062001282596210565
1281,ML07,2020-04-30T06:53:53.070000,0.13164185,s,ML07_20200430_121_06.mseed,7,0.06892163231734323
1282,ML07,2020-04-30T06:53:52.910000,0.3682448,p,ML07_20200430_121_06.mseed,7,0.17049211669592682
1725,ML05,2020-04-30T07:01:50.100000,0.44109213,s,ML05_20200430_121_07.mseed,35,0.12561640622473322
1733,ML05,2020-04-30T07:12:10.650000,0.46957645,s,ML05_20200430_121_07.mseed,42,0.08067543685440211
1736,ML05,2020-04-30T07:14:26.130000,0.1701536,s,ML05_20200430_121_07.mseed,25,0.039788922807555076
1749,ML05,2020-04-30T06:45:57.120000,0.14311077,p,ML05_20200430_121_06.mseed,21,0.10256683626126749
1750,ML05,2020-04-30T06:45:57.330000,0.14137435,s,ML05_20200430_121_06.mseed,21,0.09696902640329175
1751,ML05,2020-04-30T06:49:15.530000,0.13974775,s,ML05_20200430_121_06.mseed,29,0.005650302950699497
1753,ML05,2020-04-30T06:53:52.160000,0.63762015,s,ML05_20200430_121_06.mseed,7,0.20793705030365564
1859,ML03,2020-04-30T07:01:50.970000,0.14142323,p,ML03_20200430_121_07.mseed,35,0.06485396329711036
1861,ML03,2020-04-30T07:12:11.020000,0.43809903,p,ML03_20200430_121_07.mseed,42,0.07945534301315609
1864,ML03,2020-04-30T07:14:26.950000,0.45648888,p,ML03_20200430_121_07.mseed,25,0.08298300946720436
1866,ML03,2020-04-30T07:25:26.430000,0.15970227,p,ML03_20200430_121_07.mseed,36,0.027841081698032517
1871,ML03,2020-04-30T06:45:57.720000,0.14474966,p,ML03_20200430_121_06.mseed,21,0.08242701424424966
1872,ML03,2020-04-30T06:49:15.820000,0.22702336,p,ML03_20200430_121_06.mseed,29,0.133892940299319
