,time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,x(km),y(km),z(km),longitude,latitude,depth_km,event_index
0,2022-01-01T15:15:15.883,0,0.162,0,0,20.0,7,4,3,0.824,0.474,-1.0,101.139,-1.611,-1.0,1
1,2022-01-03T19:07:11.562,0,0.164,0,0,23.0,23,12,11,-0.377,0.525,0.555,101.128,-1.61,0.555,2
2,2022-01-05T00:58:23.125,0,0.16,0,0,7.0,7,6,1,0.342,-1.664,1.254,101.135,-1.63,1.254,3
3,2022-01-08T03:24:48.649,0,0.083,0,0,11.0,11,6,5,0.792,-2.991,1.114,101.139,-1.642,1.114,4
4,2022-01-08T04:50:13.429,0,0.044,0,0,9.0,9,4,5,-0.242,-1.423,0.26,101.13,-1.628,0.26,5
5,2022-01-09T09:05:38.733,0,0.112,0,0,10.0,10,5,5,1.724,-2.431,1.024,101.147,-1.637,1.024,6
6,2022-01-09T09:09:13.465,0,0.051,0,0,11.0,11,6,5,0.987,-3.074,1.02,101.141,-1.643,1.02,7
7,2022-01-09T09:22:33.786,0,0.178,0,0,11.0,11,6,5,2.043,-3.383,-0.754,101.15,-1.646,-0.754,8
8,2022-01-09T09:28:12.331,0,0.141,0,0,22.0,22,12,10,0.833,-2.548,0.778,101.139,-1.638,0.778,9
9,2022-01-09T09:28:41.525,0,0.13,0,0,19.0,19,11,8,0.948,-3.496,1.295,101.14,-1.647,1.295,10
10,2022-01-09T09:39:18.248,0,0.055,0,0,10.0,10,5,5,1.282,-3.012,1.125,101.143,-1.642,1.125,11
11,2022-01-10T17:00:33.847,0,0.106,0,0,10.0,10,4,6,-0.279,-1.622,0.037,101.129,-1.63,0.037,12
12,2022-01-14T04:28:04.287,0,0.196,0,0,19.0,19,10,9,-0.383,-1.324,1.486,101.128,-1.627,1.486,13
13,2022-01-17T14:01:24.478,0,0.174,0,0,25.0,25,13,12,-0.764,0.328,1.69,101.125,-1.612,1.69,14
14,2022-01-20T17:31:39.654,0,0.173,0,0,11.0,11,8,3,-2.238,-1.057,1.222,101.112,-1.625,1.222,15
15,2022-01-20T22:34:02.958,0,0.168,0,0,13.0,12,9,3,-1.038,-1.822,-0.571,101.122,-1.632,-0.571,16
16,2022-01-20T22:34:12.848,0,0.148,0,0,22.0,22,11,11,-0.566,-1.615,-0.824,101.127,-1.63,-0.824,17
17,2022-01-21T13:23:56.103,0,0.107,0,0,17.0,17,9,8,1.19,-3.047,0.588,101.142,-1.643,0.588,18
18,2022-01-21T13:25:12.978,0,0.07,0,0,11.0,11,6,5,1.735,-2.705,0.642,101.147,-1.64,0.642,19
19,2022-01-22T09:58:25.724,0,0.161,0,0,8.0,8,3,5,-1.035,-1.954,-0.209,101.122,-1.633,-0.209,20
20,2022-01-29T13:07:38.650,0,0.146,0,0,14.0,14,5,9,2.501,0.453,-0.263,101.154,-1.611,-0.263,21
21,2022-01-30T12:57:41.520,0,0.095,0,0,11.0,11,6,5,-0.899,1.286,1.665,101.124,-1.603,1.665,22
