,time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,x(km),y(km),z(km),longitude,latitude,depth_km,event_index
0,2022-01-01T15:15:15.793,0,0.176,0,0,21.0,8,4,4,0.822,0.189,-1.168,101.139,-1.613,-1.168,1
1,2022-01-03T19:07:11.489,0,0.181,0,0,24.0,24,12,12,-0.249,0.462,0.429,101.13,-1.611,0.429,2
2,2022-01-05T00:58:22.948,0,0.346,0,0,15.0,15,8,7,-0.438,-1.022,2.241,101.128,-1.624,2.241,3
3,2022-01-05T00:58:33.898,0,0.235,0,0,13.0,13,4,9,-0.427,-0.999,-0.785,101.128,-1.624,-0.785,4
4,2022-01-06T08:29:28.072,0,0.472,0,0,9.0,9,6,3,0.255,2.329,-0.959,101.134,-1.594,-0.959,5
5,2022-01-06T09:13:53.044,0,0.536,0,0,17.0,13,7,6,-1.304,0.1,-1.224,101.12,-1.614,-1.224,6
6,2022-01-06T10:03:26.980,0,0.297,0,0,8.0,6,4,2,1.861,-0.682,-1.386,101.149,-1.621,-1.386,7
7,2022-01-06T10:03:29.197,0,0.331,0,0,5.0,5,3,2,1.877,-1.057,-1.318,101.149,-1.625,-1.318,8
8,2022-01-06T10:26:53.795,0,0.434,0,0,10.0,6,3,3,-1.692,2.201,-1.022,101.117,-1.595,-1.022,9
9,2022-01-06T10:27:00.839,0,0.489,0,0,6.0,6,3,3,0.474,-0.768,-1.356,101.136,-1.622,-1.356,10
10,2022-01-06T10:28:43.126,0,0.401,0,0,7.0,6,3,3,-0.593,0.556,0.42,101.126,-1.61,0.42,11
11,2022-01-06T11:13:43.337,0,0.425,0,0,10.0,9,6,3,-0.854,-3.681,-1.861,101.124,-1.648,-1.861,12
12,2022-01-06T11:19:00.735,0,0.34,0,0,13.0,13,7,6,1.62,-1.659,-1.444,101.146,-1.63,-1.444,13
13,2022-01-06T13:52:17.525,0,0.249,0,0,9.0,9,3,6,-0.675,-1.316,-1.369,101.126,-1.627,-1.369,14
14,2022-01-07T15:10:58.730,0,0.405,0,0,11.0,11,4,7,-1.252,-0.708,0.849,101.121,-1.621,0.849,15
15,2022-01-08T03:24:48.602,0,0.123,0,0,13.0,13,6,7,0.991,-1.928,1.118,101.141,-1.632,1.118,16
16,2022-01-08T03:30:30.365,0,0.222,0,0,10.0,10,5,5,1.013,-1.31,0.961,101.141,-1.627,0.961,17
17,2022-01-08T03:31:23.840,0,0.027,0,0,7.0,7,3,4,1.221,-2.292,1.388,101.143,-1.636,1.388,18
18,2022-01-08T04:50:13.612,0,0.21,0,0,15.0,14,6,8,-0.542,-1.275,-0.804,101.127,-1.627,-0.804,19
19,2022-01-08T09:20:26.140,0,0.305,0,0,9.0,8,5,3,-1.364,-1.68,-1.445,101.12,-1.63,-1.445,20
20,2022-01-08T09:20:29.649,0,0.468,0,0,7.0,7,3,4,-2.012,-0.84,-1.15,101.114,-1.623,-1.15,21
21,2022-01-08T09:43:45.153,0,0.276,0,0,8.0,8,5,3,-1.939,0.019,-1.125,101.114,-1.615,-1.125,22
22,2022-01-08T09:46:29.425,0,0.41,0,0,8.0,7,5,2,-0.972,0.395,-1.159,101.123,-1.611,-1.159,23
23,2022-01-08T23:41:15.056,0,0.391,0,0,6.0,5,4,1,-1.065,0.582,-1.155,101.122,-1.61,-1.155,24
24,2022-01-09T00:34:38.936,0,0.33,0,0,8.0,8,6,2,-0.606,-1.424,-1.393,101.126,-1.628,-1.393,25
25,2022-01-09T01:04:29.637,0,0.544,0,0,8.0,7,6,1,0.106,0.225,0.224,101.133,-1.613,0.224,26
26,2022-01-09T09:05:38.718,0,0.107,0,0,11.0,11,5,6,1.367,-2.137,0.807,101.144,-1.634,0.807,27
27,2022-01-09T09:09:13.438,0,0.176,0,0,17.008,16,7,9,1.374,-2.555,0.808,101.144,-1.638,0.808,28
28,2022-01-09T09:22:34.058,0,0.273,0,0,15.52,16,7,9,1.659,-2.311,-1.896,101.147,-1.636,-1.896,29
29,2022-01-09T09:28:12.250,0,0.178,0,0,26.0,25,12,13,0.598,-2.366,0.72,101.137,-1.636,0.72,30
30,2022-01-09T09:28:41.490,0,0.134,0,0,19.936,21,11,10,0.824,-2.894,1.18,101.139,-1.641,1.18,31
31,2022-01-09T09:39:18.558,0,0.284,0,0,14.0,14,6,8,1.128,-2.519,-0.086,101.142,-1.638,-0.086,32
32,2022-01-09T09:39:49.130,0,0.503,0,0,11.0,10,4,6,0.67,2.176,-0.595,101.138,-1.595,-0.595,33
33,2022-01-10T17:00:33.688,0,0.132,0,0,11.0,11,4,7,-0.422,-1.274,0.211,101.128,-1.627,0.211,34
34,2022-01-10T17:30:32.392,0,0.619,0,0,16.0,15,8,7,0.187,2.192,-1.051,101.133,-1.595,-1.051,35
35,2022-01-14T04:28:04.366,0,0.265,0,0,20.0,19,10,9,-0.26,-0.883,0.851,101.129,-1.623,0.851,36
36,2022-01-14T09:23:00.303,0,0.393,0,0,7.0,7,5,2,0.678,-2.498,-1.406,101.138,-1.638,-1.406,37
37,2022-01-14T16:30:52.196,0,0.176,0,0,10.0,10,5,5,-0.487,-1.377,-0.345,101.127,-1.627,-0.345,38
38,2022-01-15T19:29:36.954,0,0.21,0,0,12.0,12,7,5,-0.649,-0.431,1.36,101.126,-1.619,1.36,39
39,2022-01-17T06:26:15.731,0,0.228,0,0,8.0,8,3,5,0.635,-1.801,-1.442,101.138,-1.631,-1.442,40
40,2022-01-17T14:01:24.413,0,0.197,0,0,25.0,25,13,12,-0.426,0.172,1.38,101.128,-1.613,1.38,41
