,id,timestamp,prob,type,filename,event_index,gamma_score
824,ML05,2022-01-01T15:15:16.670000,0.120055996,S,ML05_20220101_001_15.mseed,1,0.2258016809125981
823,ML05,2022-01-01T15:15:16.290000,0.3663948,P,ML05_20220101_001_15.mseed,1,0.5083248864660925
820,ML08,2022-01-01T15:15:15.990000,0.15307662,S,ML08_20220101_001_15.mseed,1,0.1903595591246928
819,ML08,2022-01-01T15:15:15.850000,0.21854685,P,ML08_20220101_001_15.mseed,1,0.2737626124804222
818,ML13,2022-01-01T15:15:16.280000,0.4779258,S,ML13_20220101_001_15.mseed,1,0.636389278868284
817,ML13,2022-01-01T15:15:16.060000,0.56967974,P,ML13_20220101_001_15.mseed,1,0.7820258189632822
822,ML06,2022-01-01T15:15:16.840000,0.3807121,S,ML06_20220101_001_15.mseed,1,0.4334993761914062
821,ML06,2022-01-01T15:15:16.330000,0.88653195,P,ML06_20220101_001_15.mseed,1,1.0783612032195424
804,ML10,2022-01-03T19:07:12.700000,0.3799649,S,ML10_20220103_003_19.mseed,2,0.2243446157275581
805,ML08,2022-01-03T19:07:12.330000,0.31941485,P,ML08_20220103_003_19.mseed,2,0.2695309564809628
796,ML14,2022-01-03T19:07:12.560000,0.31280094,S,ML14_20220103_003_19.mseed,2,0.3161921974963343
797,ML13,2022-01-03T19:07:12.100000,0.5949672,P,ML13_20220103_003_19.mseed,2,0.7185313868257338
798,ML13,2022-01-03T19:07:12.510000,0.53820693,S,ML13_20220103_003_19.mseed,2,0.585352393146935
799,ML12,2022-01-03T19:07:11.970000,0.88849795,P,ML12_20220103_003_19.mseed,2,1.1821979932275148
800,ML12,2022-01-03T19:07:12.710000,0.5826707,S,ML12_20220103_003_19.mseed,2,0.6527184229848235
801,ML11,2022-01-03T19:07:12.450000,0.58752215,P,ML11_20220103_003_19.mseed,2,0.5676363760531741
816,ML01,2022-01-03T19:07:12.180000,0.48012105,S,ML01_20220103_003_19.mseed,2,0.5437224791752634
815,ML01,2022-01-03T19:07:11.840000,0.20964509,P,ML01_20220103_003_19.mseed,2,0.2628094469541058
812,ML04,2022-01-03T19:07:12.840000,0.5170814,S,ML04_20220103_003_19.mseed,2,0.5018010249804488
793,ML15,2022-01-03T19:07:12.300000,0.85230577,P,ML15_20220103_003_19.mseed,2,1.1895403502469015
794,ML15,2022-01-03T19:07:12.740000,0.4533223,S,ML15_20220103_003_19.mseed,2,0.3493610143903615
795,ML14,2022-01-03T19:07:12.320000,0.3754515,P,ML14_20220103_003_19.mseed,2,0.4867443558693626
814,ML02,2022-01-03T19:07:12.700000,0.5368319,S,ML02_20220103_003_19.mseed,2,0.4062535876255498
813,ML02,2022-01-03T19:07:12.350000,0.3192715,P,ML02_20220103_003_19.mseed,2,0.451493426873119
806,ML08,2022-01-03T19:07:12.470000,0.3005973,S,ML08_20220103_003_19.mseed,2,0.4212343956617943
807,ML06,2022-01-03T19:07:12.560000,0.32839823,P,ML06_20220103_003_19.mseed,2,0.4258430480818388
808,ML06,2022-01-03T19:07:13.310000,0.641265,S,ML06_20220103_003_19.mseed,2,0.8508351040093705
809,ML05,2022-01-03T19:07:11.830000,0.650042,P,ML05_20220103_003_19.mseed,2,0.8178647831956339
810,ML05,2022-01-03T19:07:12.200000,0.61013806,S,ML05_20220103_003_19.mseed,2,0.757789927013843
811,ML04,2022-01-03T19:07:12.450000,0.6774705,P,ML04_20220103_003_19.mseed,2,0.9182334190313356
802,ML11,2022-01-03T19:07:12.710000,0.39224795,S,ML11_20220103_003_19.mseed,2,0.5279894816863298
