time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,x(km),y(km),z(km),latitude,longitude,depth_km,event_index
2024-12-01T02:12:46.041,0,0.322,0,0,6.0,6,3,3,317.211,9531.699,0.0,-4.235,103.353,0.0,1
2024-12-01T04:34:08.556,0,0.142,0,0,6.0,6,5,1,318.605,9530.831,0.014,-4.243,103.366,0.014,2
2024-12-01T04:55:39.457,0,0.164,0,0,6.0,6,1,5,319.231,9531.176,0.0,-4.24,103.371,0.0,3
2024-12-01T19:48:09.972,0,0.212,0,0,21.0,21,11,10,317.269,9530.486,0.523,-4.246,103.354,0.523,4
2024-12-02T09:03:22.518,0,0.258,0,0,6.0,6,1,5,321.794,9533.233,0.0,-4.221,103.394,0.0,5
2024-12-02T20:05:19.405,0,0.237,0,0,9.0,9,4,5,318.619,9530.501,0.0,-4.246,103.366,0.0,6
2024-12-02T22:16:41.750,0,0.33,0,0,10.0,10,4,6,319.191,9532.378,0.0,-4.229,103.371,0.0,7
2024-12-03T03:20:21.904,0,0.247,0,0,6.0,6,3,3,320.299,9531.901,0.0,-4.233,103.381,0.0,8
2024-12-03T18:28:59.878,0,0.16,0,0,14.0,14,13,1,321.474,9533.614,0.804,-4.218,103.392,0.804,9
2024-12-04T01:55:52.664,0,0.155,0,0,6.0,6,5,1,320.327,9531.41,0.0,-4.238,103.381,0.0,10
2024-12-04T06:46:53.062,0,0.18,0,0,6.0,6,3,3,318.2,9532.398,0.0,-4.229,103.362,0.0,11
2024-12-05T05:04:47.340,0,0.275,0,0,14.0,14,13,1,319.409,9529.802,0.0,-4.252,103.373,0.0,12
2024-12-05T06:52:04.956,0,0.202,0,0,16.0,16,9,7,318.874,9531.325,0.86,-4.238,103.368,0.86,13
2024-12-05T07:01:55.804,0,0.166,0,0,12.0,12,1,11,317.981,9532.597,0.0,-4.227,103.36,0.0,14
2024-12-05T14:14:18.220,0,0.225,0,0,7.0,7,3,4,320.581,9533.754,0.0,-4.217,103.383,0.0,15
2024-12-05T17:29:56.719,0,0.314,0,0,6.0,6,4,2,318.515,9531.847,0.0,-4.234,103.365,0.0,16
2024-12-05T18:21:15.506,0,0.097,0,0,7.0,7,1,6,324.231,9531.392,0.0,-4.238,103.416,0.0,17
2024-12-06T18:05:33.686,0,0.126,0,0,7.0,7,3,4,319.649,9531.032,0.0,-4.241,103.375,0.0,18
2024-12-07T02:51:26.892,0,0.186,0,0,6.0,6,4,2,318.701,9532.692,0.0,-4.226,103.367,0.0,19
2024-12-07T11:50:40.655,0,0.243,0,0,12.0,12,11,1,318.563,9530.789,0.0,-4.243,103.365,0.0,20
2024-12-08T04:59:42.537,0,0.271,0,0,6.0,6,2,4,318.66,9529.942,0.0,-4.251,103.366,0.0,21
2024-12-08T09:05:47.782,0,0.227,0,0,6.0,6,2,4,317.341,9531.28,0.0,-4.239,103.354,0.0,22
2024-12-08T10:00:16.146,0,0.159,0,0,11.0,11,5,6,319.101,9531.636,1.353,-4.236,103.37,1.353,23
2024-12-08T11:52:14.065,0,0.246,0,0,6.0,6,5,1,319.713,9532.899,0.0,-4.224,103.376,0.0,24
2024-12-08T11:52:39.974,0,0.303,0,0,8.0,8,3,5,318.898,9531.714,0.0,-4.235,103.368,0.0,25
2024-12-08T16:19:23.264,0,0.142,0,0,6.0,6,1,5,319.511,9532.127,0.0,-4.231,103.374,0.0,26
2024-12-08T18:56:34.065,0,0.191,0,0,21.0,21,13,8,321.795,9534.689,1.452,-4.208,103.394,1.452,27
2024-12-08T23:24:51.239,0,0.17,0,0,14.0,14,6,8,321.844,9533.951,1.494,-4.215,103.395,1.494,28
2024-12-08T23:26:44.089,0,0.147,0,0,14.0,13,6,7,321.992,9532.775,2.536,-4.225,103.396,2.536,29
2024-12-08T23:36:33.522,0,0.264,0,0,22.0,20,12,8,322.05,9533.631,1.612,-4.218,103.397,1.612,30
2024-12-08T23:46:22.437,0,0.109,0,0,14.0,14,8,6,322.946,9533.048,0.317,-4.223,103.405,0.317,31
2024-12-09T07:41:55.826,0,0.32,0,0,7.0,7,4,3,317.428,9531.888,0.0,-4.233,103.355,0.0,32
2024-12-09T14:20:37.727,0,0.215,0,0,19.0,19,12,7,320.208,9534.459,0.847,-4.21,103.38,0.847,33
2024-12-09T18:18:57.414,0,0.202,0,0,13.0,13,1,12,322.431,9532.83,0.0,-4.225,103.4,0.0,34
2024-12-09T19:35:47.684,0,0.368,0,0,6.0,6,3,3,317.496,9531.952,0.0,-4.233,103.356,0.0,35
2024-12-09T20:16:18.115,0,0.164,0,0,15.0,15,13,2,318.202,9530.261,0.0,-4.248,103.362,0.0,36
2024-12-09T21:26:31.231,0,0.156,0,0,16.0,16,15,1,320.563,9528.492,0.0,-4.264,103.383,0.0,37
2024-12-10T00:21:00.848,0,0.154,0,0,6.0,6,3,3,318.742,9529.511,0.0,-4.255,103.367,0.0,38
2024-12-10T07:37:27.369,0,0.145,0,0,10.0,10,9,1,318.168,9531.602,0.0,-4.236,103.362,0.0,39
2024-12-10T07:37:46.737,0,0.237,0,0,10.0,10,1,9,318.673,9530.029,0.0,-4.25,103.366,0.0,40
2024-12-10T13:27:54.167,0,0.273,0,0,9.0,9,5,4,319.788,9532.312,0.0,-4.23,103.376,0.0,41
2024-12-10T20:34:50.549,0,0.215,0,0,9.0,9,7,2,322.453,9531.272,0.0,-4.239,103.4,0.0,42
2024-12-10T20:34:50.564,0,0.182,0,0,9.0,9,1,8,323.064,9533.517,3.002,-4.219,103.406,3.002,43
2024-12-10T20:38:39.337,0,0.193,0,0,7.0,7,2,5,323.05,9534.161,0.0,-4.213,103.406,0.0,44
2024-12-10T20:39:06.320,0,0.153,0,0,7.0,7,5,2,322.606,9531.571,0.0,-4.236,103.402,0.0,45
2024-12-10T20:39:07.337,0,0.274,0,0,6.0,6,2,4,320.264,9533.84,0.26,-4.216,103.381,0.26,46
2024-12-10T20:39:40.777,0,0.161,0,0,6.0,6,2,4,323.031,9533.283,0.0,-4.221,103.406,0.0,47
2024-12-11T09:12:20.856,0,0.205,0,0,6.0,6,3,3,318.524,9530.055,0.0,-4.25,103.365,0.0,48
2024-12-11T12:26:44.002,0,0.109,0,0,11.0,11,6,5,318.64,9533.925,0.364,-4.215,103.366,0.364,49
2024-12-11T15:56:10.445,0,0.3,0,0,6.0,6,2,4,318.257,9530.658,0.0,-4.244,103.362,0.0,50
2024-12-11T16:34:38.096,0,0.215,0,0,7.0,7,4,3,317.714,9531.82,0.0,-4.234,103.358,0.0,51
2024-12-11T17:46:11.409,0,0.198,0,0,8.0,8,5,3,319.299,9533.633,0.0,-4.218,103.372,0.0,52
2024-12-12T06:37:51.408,0,0.236,0,0,7.0,7,5,2,319.27,9532.353,0.0,-4.229,103.372,0.0,53
2024-12-12T15:31:37.202,0,0.212,0,0,18.0,18,9,9,323.249,9534.493,1.758,-4.21,103.408,1.758,54
