id,timestamp,prob,type,filename,event_index,gamma_score
RD13,2024-12-01T02:12:46.380000,0.11701027,S,RD13_(B242)_RD_20241201_020000,1,0.0279207907265434
RD13,2024-12-01T02:12:46.660000,0.23998554,P,RD13_(B242)_RD_20241201_020000,1,0.064634381001071
RD14,2024-12-01T02:12:47.120000,0.16676414,P,RD14_(B158)_RD_20241201_020000,1,0.0422411386381268
RD14,2024-12-01T02:12:47.280000,0.17075469,S,RD14_(B158)_RD_20241201_020000,1,0.0456301789767161
RD15,2024-12-01T02:12:47.070000,0.30103865,S,RD15_(AD18)_RD_20241201_020000,1,0.0805293169130855
RD15,2024-12-01T02:12:46.860000,0.30880976,P,RD15_(AD18)_RD_20241201_020000,1,0.082902888184866
RD15,2024-12-01T04:34:08.900000,0.40264547,P,RD15_(AD18)_RD_20241201_040000,2,0.1093597881407454
RD14,2024-12-01T04:34:09.350000,0.5035993,P,RD14_(B158)_RD_20241201_040000,2,0.1366742439024793
RD11,2024-12-01T04:34:09.270000,0.650297,P,RD11_(B232)_RD_20241201_040000,2,0.1787898396749954
RD13,2024-12-01T04:34:09.110000,0.14209986,P,RD13_(B242)_RD_20241201_040000,2,0.0392263687619538
RD08,2024-12-01T04:34:09.680000,0.13007686,S,RD08_(B264)_RD_20241201_040000,2,0.0359225123071084
RD10,2024-12-01T04:34:09.070000,0.53166497,P,RD10_(B240)_RD_20241201_040000,2,0.1463968748135917
RD10,2024-12-01T04:55:40.590000,0.7437526,S,RD10_(B240)_RD_20241201_040000,3,0.2044175860116659
RD11,2024-12-01T04:55:40.250000,0.2756487,S,RD11_(B232)_RD_20241201_040000,3,0.0756278572519572
RD13,2024-12-01T04:55:40.450000,0.49041876,S,RD13_(B242)_RD_20241201_040000,3,0.1348365318943775
RD07,2024-12-01T04:55:40.470000,0.10200518,P,RD07_(B14E)_RD_20241201_040000,3,0.0271611521364257
RD07,2024-12-01T04:55:40.440000,0.21094143,S,RD07_(B14E)_RD_20241201_040000,3,0.0574882914020591
RD15,2024-12-01T04:55:40.370000,0.34688845,S,RD15_(AD18)_RD_20241201_040000,3,0.0955878223549514
RD10,2024-12-01T19:48:10.580000,0.9740648,P,RD10_(B240)_RD_20241201_190000,4,0.5167465494046832
RD10,2024-12-01T19:48:11.160000,0.9252777,S,RD10_(B240)_RD_20241201_190000,4,0.4970089174778397
RD11,2024-12-01T19:48:10.830000,0.95386493,S,RD11_(B232)_RD_20241201_190000,4,0.3868361022584923
RD13,2024-12-01T19:48:10.670000,0.97410744,P,RD13_(B242)_RD_20241201_190000,4,0.5228267789567509
RD15,2024-12-01T19:48:11.470000,0.9233004,S,RD15_(AD18)_RD_20241201_190000,4,0.4700665067949728
RD14,2024-12-01T19:48:10.610000,0.97987926,P,RD14_(B158)_RD_20241201_190000,4,0.5249867342345733
RD14,2024-12-01T19:48:11.190000,0.9534302,S,RD14_(B158)_RD_20241201_190000,4,0.5101301185712418
RD09,2024-12-01T19:48:11.440000,0.6805564,S,RD09_(B4AE)_RD_20241201_190000,4,0.3609645736595469
RD13,2024-12-01T19:48:11.250000,0.9389136,S,RD13_(B242)_RD_20241201_190000,4,0.4907962580879335
RD09,2024-12-01T19:48:10.310000,0.5196209,P,RD09_(B4AE)_RD_20241201_190000,4,0.2229390348463575
RD15,2024-12-01T19:48:10.870000,0.95866,P,RD15_(AD18)_RD_20241201_190000,4,0.5050526183702457
RD07,2024-12-01T19:48:11.720000,0.9126904,S,RD07_(B14E)_RD_20241201_190000,4,0.4903400034808436
RD08,2024-12-01T19:48:11.320000,0.20430392,S,RD08_(B264)_RD_20241201_190000,4,0.1079050464996448
RD02,2024-12-01T19:48:11.390000,0.92171323,P,RD02_(B268)_RD_20241201_190000,4,0.4926332226413725
RD03,2024-12-01T19:48:11.750000,0.6286537,P,RD03_(B157)_RD_20241201_190000,4,0.2889158237748346
RD05,2024-12-01T19:48:11.380000,0.7841829,P,RD05_(B13C)_RD_20241201_190000,4,0.4133906148266541
