id,origin_time,lon,lat,utm_x,utm_y,depth_km,depth_m,elevation_m,elevation_km,magnitude,CID,RCC,RCT,remarks
1,2024-11-01 14:56:39.890,103.375106,-4.209617,319650.4451981613,9534514.679839227,-0.03299999999999992,-32.999999999999915,32.999999999999915,0.03299999999999991,0.0,1,0.0,0.029,WCC
4,2024-11-04 18:50:07.860,103.36027,-4.24607,318011.8355020996,9530480.218939392,-0.18500000000000005,-185.00000000000006,185.00000000000006,0.18500000000000005,0.0,1,0.01,0.029,WCC
6,2024-11-05 16:57:56.630,103.358398,-4.241896,317803.03293775674,9530941.344611006,-0.14900000000000002,-149.00000000000003,149.00000000000003,0.14900000000000002,0.0,1,0.014,0.024,WCC
11,2024-11-08 19:03:08.840,103.35389,-4.244765,317303.2399053724,9530623.023730764,-0.2450000000000001,-245.0000000000001,245.0000000000001,0.2450000000000001,0.0,1,0.019,0.025,WCC
12,2024-11-09 00:44:48.500,103.377124,-4.215052,319875.73665483797,9533914.142652947,0.347,347.0,-347.0,-0.347,0.0,1,0.003,0.022,WCC
13,2024-11-09 00:44:51.640,103.382788,-4.220205,320505.7381722407,9533345.631544236,0.051000000000000156,51.000000000000156,-51.000000000000156,-0.051000000000000156,0.0,1,-9.0,0.0,WCC
14,2024-11-09 01:54:08.090,103.350944,-4.243884,316975.9748744245,9530719.749919709,-0.998,-998.0,998.0,0.998,0.0,1,0.01,0.039,WCC
18,2024-11-11 14:00:27.780,103.378271,-4.209634,320001.8310018392,9534513.530958304,0.20400000000000018,204.00000000000017,-204.00000000000017,-0.20400000000000018,0.0,1,0.008,0.024,WCC
20,2024-11-15 15:58:25.820,103.356917,-4.240598,317638.31139280647,9531084.530556403,-0.371,-371.0,371.0,0.371,0.0,1,0.02,0.028,WCC
22,2024-11-18 16:03:45.730,103.353361,-4.241357,317243.71013489366,9530999.76084961,-0.7050000000000001,-705.0000000000001,705.0000000000001,0.7050000000000001,0.0,1,0.019,0.028,WCC
23,2024-11-18 17:06:20.600,103.35319,-4.243076,317225.13034634717,9530809.630718844,-0.3999999999999999,-399.9999999999999,399.9999999999999,0.3999999999999999,0.0,1,0.012,0.029,WCC
25,2024-11-20 00:08:35.690,103.357129,-4.240417,317661.8047192186,9531104.595704552,-0.010000000000000009,-10.000000000000009,10.000000000000009,0.010000000000000009,0.0,1,0.014,0.029,WCC
26,2024-11-20 00:36:43.660,103.351204,-4.242866,317004.5997005158,9530832.38359196,-0.0009999999999998899,-0.9999999999998899,0.9999999999998899,0.0009999999999998899,0.0,1,0.016,0.023,WCC
27,2024-11-20 02:33:37.010,103.378304,-4.211382,320005.89649144036,9534320.244491545,0.07100000000000017,71.00000000000017,-71.00000000000017,-0.07100000000000017,0.0,1,0.006,0.044,WCC
28,2024-11-20 02:33:55.580,103.370003,-4.207241,319083.3545078676,9534776.237726685,0.12699999999999978,126.99999999999977,-126.99999999999977,-0.12699999999999978,0.0,1,0.0,-9.0,WCC
30,2024-11-20 03:37:57.930,103.356567,-4.24117,317599.58935955877,9531021.195563333,-0.21199999999999997,-211.99999999999997,211.99999999999997,0.21199999999999997,0.0,1,0.015,0.025,WCC
31,2024-11-20 03:43:06.790,103.355973,-4.242344,317533.92041018093,9530891.23299866,-0.5189999999999999,-518.9999999999999,518.9999999999999,0.5189999999999999,0.0,1,0.015,0.025,WCC
32,2024-11-20 04:06:55.340,103.356274,-4.239913,317566.76620697044,9531160.127385788,-0.698,-698.0,698.0,0.698,0.0,1,0.018,0.028,WCC
33,2024-11-20 04:07:30.240,103.354297,-4.24202,317347.77866469405,9530926.666157497,-0.357,-357.0,357.0,0.357,0.0,1,0.018,0.028,WCC
