id,longitude,latitude,elevation_m,utmx,utmy
RD01,103.408419,-4.192293,1504,323344.9658,9536437.964
RD02,103.401842,-4.210773,1753,322618.951,9534392.981
RD03,103.390728,-4.20593,1899,321383.9716,9534925.98
RD04,103.417561,-4.210271,1719,324363.949,9534452.048
RD05,103.378906,-4.20397,2013,320071.0291,9535140.003
RD06,103.379951,-4.212581,1943,320189.0231,9534188.039
RD07,103.381069,-4.220451,2185,320314.9525,9533318.032
RD08,103.372253,-4.22405,2167,319337.0364,9532918.012
RD09,103.364433,-4.22482,2258,318469.0427,9532831.043
RD10,103.359078,-4.231261,2412,317876.036,9532117.536
RD11,103.372777,-4.231774,2382,319396.9994,9532064.01
RD12,103.366364,-4.236119,2467,318686.0502,9531582.04
RD13,103.356779,-4.240449,2570,317622.956,9531100.975
RD14,103.362021,-4.24528,2632,318206.041,9530567.99
RD15,103.369522,-4.243717,2610,319038.4128,9530742.586
